Branch_ID,City_Type,Staff_Count,Branch_Area_sqft,Marketing_Spend,ATM_Count,Population_Density,Competitor_Branches,Average_Income,Monthly_Revenue
BR_86,Urban,25,4829,52228,0,29808,2,197454,438052
BR_87,Suburban,21,1547,267368,8,15908,3,108061,325039
BR_88,Suburban,27,1600,206845,10,29501,1,81087,469452
BR_89,Rural,47,2297,174582,4,11463,3,156028,616456
BR_90,Urban,21,2179,149802,1,14453,3,100781,296037
BR_91,Urban,18,1479,286579,14,14715,5,102895,306372
BR_92,Suburban,33,4570,77955,7,28768,11,122184,457772
BR_93,Suburban,24,4142,71033,11,7630,4,160599,303701
BR_94,Suburban,34,1696,237161,9,17902,6,135971,522536
BR_95,Suburban,23,2346,122012,9,4556,10,31693,184522
BR_96,Urban,57,3926,67219,3,21338,6,62671,735422
BR_97,Suburban,43,1483,185549,10,9387,2,57823,590461
BR_98,Urban,17,2095,193793,9,25172,8,103950,222593
BR_99,Urban,22,2185,218300,11,28175,6,131786,337816
BR_100,Urban,27,1742,52326,6,11858,6,105586,319022
BR_101,Urban,50,4080,193277,13,15630,1,43378,828990
BR_102,Suburban,37,1833,36375,12,27637,11,42218,370930
BR_103,Urban,43,3586,153783,4,6661,9,170598,497963
BR_104,Suburban,44,3033,291326,12,5801,2,105278,641734
BR_105,Rural,22,4445,113177,2,24017,2,143997,433527
BR_106,Urban,13,2420,115066,9,9413,11,198946,138587
BR_107,Urban,37,4335,163992,7,19547,5,134097,538134
BR_108,Suburban,36,4005,42144,1,14071,3,124805,559643
BR_109,Urban,58,3682,140270,0,19665,3,105831,908389
BR_110,Urban,21,5704,235490,4,12856,0,106089,549082
BR_111,Urban,23,970,153637,10,13087,5,69281,269674
BR_112,Urban,31,2353,108909,3,10187,7,111608,420475
BR_113,Rural,10,4697,221632,10,27784,7,170777,288671
BR_114,Rural,39,2395,150661,9,18686,7,172475,506161
BR_115,Suburban,41,2423,54510,14,15805,4,42416,571252
BR_116,Rural,38,4922,107919,6,10947,9,66784,528671
BR_117,Rural,24,5909,133043,14,22643,5,137251,491148
BR_118,Urban,29,1891,228438,12,24147,4,88376,474602
BR_119,Rural,8,3637,66546,8,11418,3,36853,212535
BR_120,Suburban,14,1207,174339,5,26564,11,53369,93226
BR_121,Rural,14,4969,287041,10,9575,3,25747,361966
BR_122,Rural,28,1479,151235,0,11425,3,199398,368049
BR_123,Urban,25,5744,252686,14,7978,3,139375,546825
BR_124,Urban,15,5765,264367,7,16436,5,195844,311984
BR_125,Urban,31,1036,75313,1,11089,5,107887,278355
BR_126,Urban,20,3574,49870,3,24474,4,152227,266880
BR_127,Rural,30,4237,144703,2,10154,11,185083,357691
BR_128,Rural,34,4157,137952,5,10183,10,109718,344540
BR_129,Urban,53,3677,280401,1,24064,10,75956,636442
BR_130,Suburban,20,5801,275545,4,24895,8,92559,425405
BR_131,Urban,11,3223,157662,10,29886,7,99128,151864
BR_132,Urban,20,5514,69584,8,5362,9,88769,315445
BR_133,Urban,39,3947,238735,14,28995,5,56109,565848
BR_134,Urban,20,1832,189087,2,13101,10,111352,136161
BR_135,Rural,44,3654,93251,1,11646,8,51499,508306
BR_136,Urban,16,3740,89353,1,28903,4,182016,248603
BR_137,Suburban,39,4501,102990,14,28939,9,122798,473251
BR_138,Suburban,53,4870,286744,8,20396,3,199352,839323
BR_139,Urban,25,3932,175762,5,19484,5,126628,420852
BR_140,Rural,54,4260,128286,1,27391,3,146851,850773
BR_141,Rural,47,5742,188571,2,17755,7,174333,680676
BR_142,Urban,40,2723,237759,14,7104,6,199719,563409
BR_143,Urban,52,1433,37341,13,23999,4,83741,595724
BR_144,Urban,21,5913,115140,0,11512,9,48345,286081
BR_145,Urban,36,4903,37015,1,18069,5,166183,571641
BR_146,Urban,45,2192,144581,14,18306,10,172461,579048
BR_147,Suburban,10,5964,206269,1,18255,6,128837,342174
BR_148,Suburban,28,4246,69849,10,6502,1,165785,456320
BR_149,Urban,31,3898,35852,1,28910,8,192718,352390
BR_150,Urban,24,5744,75361,6,17252,6,175925,362602
BR_151,Rural,29,861,172330,2,26007,7,165085,350738
BR_152,Urban,6,5981,82355,12,22971,4,144021,202199
BR_153,Urban,13,3269,47410,14,27608,2,146321,270263
BR_154,Urban,32,2617,281046,13,8037,1,28093,574897
BR_155,Rural,57,1432,223014,10,19539,1,123057,771003
BR_156,Urban,42,5687,53924,3,11292,2,182953,728686
BR_157,Suburban,7,3398,257911,1,29361,0,186839,306239
BR_158,Suburban,24,4251,255530,4,16466,0,196817,562724
BR_159,Urban,10,2100,291280,13,2996,6,125854,205878
BR_160,Suburban,43,3453,295357,8,11627,9,84530,674388
BR_161,Urban,37,2254,228680,11,23593,11,58993,404251
BR_162,Suburban,59,1938,128546,8,20929,10,52132,662285
BR_163,Suburban,5,3992,47431,6,22084,7,197685,84109
BR_164,Suburban,41,5420,62290,11,25149,5,81552,619338
BR_165,Urban,10,5794,150374,7,6984,6,95092,242986
BR_166,Rural,49,3010,62747,12,18737,0,158789,728870
BR_167,Urban,38,5682,95974,13,4318,0,126696,643716
BR_168,Urban,51,4559,220280,4,15703,8,180610,728921
BR_169,Urban,19,3829,149132,4,14719,4,198094,318644
BR_170,Suburban,49,2160,235147,11,27314,6,63890,693975
BR_171,Suburban,30,3226,165959,2,4519,5,64407,543114
BR_172,Urban,18,5068,20051,5,7427,3,48402,316038
BR_173,Suburban,58,5895,236643,0,6603,0,183296,878333
BR_174,Urban,11,863,273116,2,26630,3,136749,219026
BR_175,Suburban,50,2145,298224,10,20468,9,95286,635324
BR_176,Urban,35,1774,54880,1,2899,9,38820,317471
BR_177,Suburban,28,4961,211037,6,28678,7,125958,476793
BR_178,Urban,35,4428,67361,8,27099,11,60837,461885
BR_179,Rural,33,2422,114841,3,18846,10,177050,323006
BR_180,Urban,46,1257,217962,6,19885,0,169785,621766
BR_181,Urban,36,4130,53005,7,14068,1,65431,658863
BR_182,Urban,21,2540,257903,9,19099,7,56207,291907
BR_183,Rural,18,3826,280158,1,7330,1,31142,462237
BR_184,Rural,44,2754,85471,6,29873,10,28755,552019
BR_185,Urban,40,1079,146718,12,25558,11,91366,407520
BR_186,Suburban,52,3191,126379,11,29355,9,136929,625528
BR_187,Rural,28,1840,159763,2,21995,8,195414,326728
BR_188,Suburban,49,1761,29756,7,11180,2,104229,611530
BR_189,Suburban,58,4645,143670,5,28404,2,31121,899785
BR_190,Urban,31,2017,84079,2,18595,5,184376,349037
BR_191,Urban,29,4020,85524,7,25740,2,73294,538317
BR_192,Rural,36,1174,29327,10,29722,8,112994,370630
BR_193,Rural,56,4930,194380,12,19137,10,89902,683457
BR_194,Suburban,22,2192,125561,2,17473,7,68704,291358
BR_195,Urban,50,2876,36533,8,5750,3,59612,744452
BR_196,Urban,22,1574,117417,10,13881,5,140149,256681
BR_197,Suburban,41,5116,195560,2,21606,7,121081,620909
BR_198,Rural,30,4224,218232,0,18819,3,142679,530866
BR_199,Rural,13,2923,60429,12,28477,4,179299,308354
BR_200,Suburban,39,5389,33654,1,27811,6,83922,528675
BR_201,Suburban,12,4393,27899,3,27354,7,90736,237070
BR_202,Urban,24,1079,164444,12,6929,6,107435,235991
BR_203,Urban,58,5641,111724,10,16796,7,177906,805215
BR_204,Rural,46,3611,49295,1,20344,3,187397,674519
BR_205,Suburban,26,3142,69574,3,22656,0,54546,489041
BR_206,Urban,23,2274,216006,3,28382,5,113410,321297
BR_207,Urban,34,2657,50066,3,7813,4,183044,363150
BR_208,Suburban,57,5992,234221,0,29806,10,28696,802588
BR_209,Urban,32,3689,236168,8,3724,3,77445,496676
BR_210,Urban,39,1859,160017,9,26761,1,113921,538845
BR_211,Suburban,47,2722,49418,10,3494,0,174085,602362
BR_212,Suburban,15,4599,102607,6,20363,8,176474,222308
BR_213,Suburban,35,5392,69874,1,23812,11,193329,518341
BR_214,Urban,53,3273,150538,2,22437,1,147251,739899
BR_215,Suburban,52,4939,233699,12,10437,8,92552,760585
BR_216,Urban,43,2651,232465,7,9160,5,87417,543527
BR_217,Urban,40,4341,69635,6,10575,5,66126,523614
BR_218,Suburban,34,5349,277470,3,25593,1,58743,600940
BR_219,Suburban,27,1394,233161,3,2284,5,111467,455791
BR_220,Rural,23,1306,299548,8,17315,2,65073,447721
BR_221,Suburban,16,5689,92629,14,7083,6,42243,315324
BR_222,Suburban,19,820,33156,4,22378,9,45328,184684
BR_223,Urban,35,2199,69999,13,10491,3,25209,437918
BR_224,Urban,47,4001,199431,12,2900,8,34800,619599
BR_225,Urban,41,3261,296838,10,3459,4,90749,580794
BR_226,Urban,41,5990,208302,4,15680,11,112817,680941
BR_227,Rural,19,4478,52799,14,21305,9,53007,210399
BR_228,Urban,33,1136,162228,6,4533,2,63550,423555
BR_229,Rural,54,2467,190010,0,8579,0,196242,853192
BR_230,Suburban,47,4376,242686,2,19189,0,181620,782933
BR_231,Suburban,30,1709,153387,1,9595,3,184447,449961
BR_232,Suburban,48,1075,248339,10,20612,9,153396,582450
BR_233,Suburban,6,1691,32420,9,3921,9,90839,-31070
BR_234,Urban,24,812,271985,5,6972,3,146964,341414
BR_235,Urban,19,5922,66972,10,4387,8,115094,320574
BR_236,Suburban,56,4857,83294,11,12730,7,75012,745767
BR_237,Urban,8,3825,100853,5,16830,3,191007,255288
BR_238,Urban,26,1773,140135,9,3996,5,96495,383982
BR_239,Suburban,54,5070,102504,0,6825,6,122489,753943
BR_240,Urban,42,4770,141373,13,7282,9,191314,590560
BR_241,Rural,27,2208,92554,13,15869,7,125681,351881
BR_242,Rural,30,2743,137781,5,20887,3,51326,478347
BR_243,Rural,55,3088,20973,9,17451,0,155194,757759
BR_244,Urban,15,1346,269784,1,2104,4,110331,183544
BR_245,Urban,32,2018,260210,10,25246,0,78811,538009
BR_246,Rural,6,2220,124919,3,10630,10,78537,95054
BR_247,Urban,12,2254,57097,5,19905,10,82829,111724
BR_248,Rural,33,4177,141403,2,3351,3,34552,493864
BR_249,Rural,15,3572,216283,2,4698,6,40485,310114
BR_250,Rural,41,4898,74841,11,21996,6,189612,565727
BR_251,Urban,22,3538,45346,2,18892,0,102505,424969
BR_252,Urban,59,4547,125633,3,17300,8,75984,824785
BR_253,Rural,54,2642,91980,8,7310,1,163677,766500
BR_254,Urban,18,1546,110417,3,8190,4,124603,288051
BR_255,Urban,58,3616,288116,12,15166,5,106389,853894
BR_256,Suburban,14,1671,150017,3,19658,0,180829,215577
BR_257,Rural,39,1294,254481,3,4822,11,149142,484083
BR_258,Suburban,13,4244,162003,6,18447,1,69865,363566
BR_259,Suburban,39,5523,158774,4,5921,6,87811,568354
BR_260,Urban,15,1875,104834,11,19243,5,33337,193930
BR_261,Suburban,48,4794,248648,1,13019,5,102670,732349
BR_262,Rural,16,5037,85252,6,3547,5,157911,230112
BR_263,Urban,7,845,66904,2,4076,6,78102,82370
BR_264,Suburban,57,3856,72320,10,15962,9,42702,688613
BR_265,Rural,43,2857,115341,0,18820,11,41359,455057
BR_266,Suburban,18,1463,278596,8,24469,11,113038,248366
BR_267,Suburban,32,5468,284743,4,15908,8,57514,543212
BR_268,Suburban,15,2829,247117,9,5657,8,199290,258375
BR_269,Urban,43,3496,235791,0,19146,1,159012,648266
BR_270,Urban,29,5808,207237,10,2735,1,48953,584306
BR_271,Rural,25,1439,209927,0,9214,4,63226,434732
BR_272,Rural,14,3463,254849,0,25968,9,27052,246009
BR_273,Rural,47,3545,20018,11,13856,6,162377,586161
BR_274,Rural,19,5804,151930,8,6094,11,164479,214804
BR_275,Suburban,23,5764,186872,12,24978,11,25785,361255
BR_276,Suburban,52,5925,78770,7,6728,2,147026,738856
BR_277,Suburban,26,5748,235523,10,28154,2,170344,597067
BR_278,Suburban,25,5202,256847,12,5729,3,35491,580596
BR_279,Suburban,56,3395,164015,14,9241,2,102480,896211
BR_280,Suburban,48,4227,122342,12,19460,2,159181,689442
BR_281,Rural,36,1194,81457,5,12472,7,168587,374560
BR_282,Urban,54,4397,293538,9,3830,6,145741,800614
BR_283,Urban,27,5644,130599,14,12090,6,193844,429746
BR_284,Urban,17,3132,144221,14,19057,9,178212,226923
BR_285,Suburban,9,1129,269222,5,18932,1,97981,342024
BR_286,Urban,8,2897,97318,5,27512,10,58052,50403
BR_287,Urban,32,1572,280784,3,16432,8,69541,436889
BR_288,Suburban,18,2445,198728,4,2895,5,154672,291251
BR_289,Urban,12,2532,157661,9,20953,2,158485,305913
BR_290,Suburban,13,5273,275667,2,28663,8,174099,272797
BR_291,Urban,55,2587,43233,2,19297,8,165391,708088
BR_292,Urban,39,2423,186083,9,19560,5,184120,558541
BR_293,Rural,41,1799,290321,6,9273,9,186444,484345
BR_294,Urban,25,2648,185600,4,8696,5,96871,361978
BR_295,Urban,22,2361,134506,7,23249,7,74795,340076
BR_296,Suburban,37,1573,254818,4,22690,7,146999,584851
BR_297,Suburban,12,5979,81351,11,21657,5,89394,265378
BR_298,Urban,55,2603,71827,3,24960,6,117890,782297
BR_299,Suburban,53,1898,100501,13,17042,3,197057,748882
BR_300,Urban,21,2850,88772,2,16900,0,133541,359244
BR_301,Urban,47,2398,35611,11,14434,3,127241,637162
BR_302,Suburban,35,1547,173354,1,19906,7,95343,479090
BR_303,Suburban,38,4773,232437,2,24809,11,171022,519303
BR_304,Suburban,10,3122,270036,6,9477,7,96872,176002
BR_305,Suburban,26,2353,162412,7,4802,1,162596,414528
BR_306,Rural,18,2415,103035,14,5122,6,63490,214626
BR_307,Suburban,7,4554,129322,4,14782,0,75220,276326
BR_308,Urban,16,5224,74515,10,4456,1,197970,427669
BR_309,Suburban,40,3102,241524,0,20033,7,192938,585480
BR_310,Urban,16,5021,129446,2,4320,10,40265,291663
BR_311,Urban,49,5662,50480,3,12697,9,118759,654000
BR_312,Urban,6,4455,203599,9,19527,3,54830,354659
BR_313,Urban,6,4195,79789,12,13964,2,104138,163204
BR_314,Rural,19,1016,202974,12,10237,1,166589,242168
BR_315,Rural,27,4116,52191,11,21698,10,164167,338641
BR_316,Suburban,33,2159,79488,3,6406,5,72385,428377
BR_317,Urban,21,4574,226154,11,20993,3,75295,495041
BR_318,Urban,36,5727,187116,0,9591,2,47277,701230
BR_319,Urban,11,5077,200672,9,5119,2,114261,244474
BR_320,Urban,34,5229,199848,8,19784,9,121714,496458
BR_321,Suburban,32,5406,94525,11,28167,2,196637,570045
BR_322,Suburban,18,5278,33740,9,26583,11,126048,188488
BR_323,Suburban,48,2696,164174,14,27559,7,78822,631604
BR_324,Urban,34,5227,231965,14,21981,8,26920,576468
BR_325,Rural,21,1699,133917,3,28326,8,165948,310330
BR_326,Suburban,36,1441,121630,1,23873,4,178068,501385
BR_327,Suburban,50,5529,45221,12,5511,0,162491,830159
BR_328,Suburban,10,4427,83265,8,5828,9,34160,147499
BR_329,Urban,55,995,20719,13,18949,4,56706,711716
BR_330,Urban,28,2693,234514,3,9651,0,195012,466346
BR_331,Urban,10,4075,152141,3,28896,8,63698,167577
BR_332,Suburban,31,4850,74714,10,11092,9,193578,484123
BR_333,Urban,22,5353,93285,5,12370,7,47879,324516
BR_334,Urban,28,5725,295079,7,13784,6,176845,553624
BR_335,Urban,41,3104,64035,4,4771,1,103570,563089
BR_336,Urban,28,4400,93480,11,8777,1,28884,492491
BR_337,Rural,42,4143,98283,7,2113,3,124036,594712
BR_338,Suburban,38,2856,227113,0,2531,8,56803,519331
BR_339,Urban,44,3608,262825,12,11714,8,176135,636193
BR_340,Urban,51,2024,166293,3,5410,7,45236,597456
BR_341,Urban,19,1686,27087,0,11236,10,187334,176480
BR_342,Urban,15,1192,153271,2,24223,4,127003,194079
BR_343,Urban,26,2475,198388,10,26608,6,95717,462253
BR_344,Urban,58,3990,135310,6,10324,11,147001,707964
BR_345,Urban,28,3246,167816,0,13159,8,43484,254512
BR_346,Suburban,5,4705,206589,4,3726,2,133388,173180
BR_347,Suburban,22,4138,118231,0,23454,3,38280,426387
BR_348,Urban,48,4391,199937,5,10217,1,27754,794503
BR_349,Urban,16,4566,228267,8,4648,8,75258,257386
BR_350,Suburban,47,3327,33894,2,14832,6,68386,597566
BR_351,Suburban,32,2981,49272,10,11453,5,56365,446975
BR_352,Rural,44,4564,74021,10,4065,4,106353,666550
BR_353,Suburban,11,5811,241120,13,29921,11,185676,277862
BR_354,Urban,27,5830,53645,11,2933,6,26803,380509
BR_355,Urban,25,1154,41179,14,3050,2,149907,372409
BR_356,Suburban,38,3431,30691,5,27392,4,164344,446671
BR_357,Urban,15,2321,149436,3,24414,1,146345,300756
BR_358,Suburban,26,3472,280005,5,9116,4,130210,475277
BR_359,Rural,46,3978,232718,1,23427,6,52117,629799
BR_360,Suburban,39,3137,251899,3,27313,10,32204,527757
BR_361,Urban,56,1428,190110,12,24851,9,87519,698647
BR_362,Suburban,33,3479,48478,12,13106,10,187936,338570
BR_363,Urban,46,5222,87857,6,21986,6,75386,663896
BR_364,Suburban,32,2238,65900,10,8878,8,41486,307417
BR_365,Rural,22,2221,241141,5,2792,2,170846,418337
BR_366,Urban,18,1926,146861,8,13367,7,128216,251935
BR_367,Rural,22,3483,61098,10,7963,4,170445,353953
BR_368,Rural,32,2580,28294,6,11547,6,193748,382948
BR_369,Urban,28,2331,213652,0,3385,0,28691,407492
BR_370,Urban,12,2714,189173,5,19444,0,69445,301917
BR_371,Urban,46,2032,176131,10,11563,3,181895,705836
BR_372,Urban,58,2756,40703,2,26307,4,126368,799261
BR_373,Urban,49,1192,267608,7,6138,9,79564,655481
BR_374,Suburban,57,1625,210300,12,19533,2,112071,799742
BR_375,Urban,12,3763,154277,0,16344,5,162098,213911
BR_376,Urban,8,3195,231594,9,9693,2,199568,264937
BR_377,Rural,31,4945,31628,1,13394,4,39073,459101
BR_378,Urban,40,5946,123655,2,25876,10,177908,538425
BR_379,Rural,9,5695,221161,13,8327,0,163256,270881
BR_380,Urban,37,2592,288662,2,5353,2,26789,601231
BR_381,Urban,53,3864,189563,6,29518,6,55353,790705
BR_382,Suburban,38,2163,159018,12,15364,2,51340,512184
BR_383,Suburban,34,3148,20610,7,24353,4,72343,530011
BR_384,Rural,12,4351,146419,14,17205,6,184005,249815
BR_385,Suburban,43,4428,282001,8,6628,1,169758,724755
BR_386,Rural,51,4136,250842,6,21832,2,185330,757167
BR_387,Urban,30,2365,255612,7,7327,3,150877,495679
BR_388,Urban,41,4467,263095,10,29623,4,58027,634083
BR_389,Suburban,38,3013,202370,14,29286,11,174374,442886
BR_390,Rural,11,4896,61811,5,28076,8,146192,131251
BR_391,Rural,44,1819,90072,1,16281,8,115095,617437
BR_392,Urban,32,2084,135407,0,23433,3,155563,471714
BR_393,Urban,43,862,270440,2,18452,8,138570,515494
BR_394,Suburban,43,3330,62974,8,12058,3,51362,592704
BR_395,Urban,32,4192,170928,12,28524,1,32252,556329
BR_396,Rural,18,4072,101983,6,14093,9,146918,232466
BR_397,Rural,57,3069,273206,1,21892,0,40090,904058
BR_398,Urban,54,5047,236886,13,18684,6,60110,778859
BR_399,Suburban,42,1443,87078,0,17987,3,98627,557492
BR_400,Suburban,8,5521,87951,1,29553,11,77385,237455
BR_401,Urban,46,1016,163977,14,25181,7,30024,494227
BR_402,Rural,22,995,123691,2,20984,7,36441,213107
BR_403,Suburban,48,4664,238171,13,20537,11,198383,661506
BR_404,Rural,52,4073,192027,5,16907,7,183459,768132
BR_405,Urban,29,5910,223251,11,23289,5,92825,653510
BR_406,Rural,11,3494,68435,8,14921,8,141053,162264
BR_407,Urban,42,4012,293390,7,22402,3,101890,646827
BR_408,Urban,32,3555,284602,9,16026,4,167363,596738
BR_409,Rural,9,2321,209579,8,5082,3,152434,206984
BR_410,Urban,7,1880,26028,10,9074,4,187458,97158
BR_411,Urban,48,1521,254823,10,19623,1,141096,639930
BR_412,Rural,35,2362,139247,7,29509,4,34702,558791
BR_413,Rural,51,1439,251324,6,12560,9,123523,582929
BR_414,Suburban,46,5060,157378,5,2459,7,129711,654946
BR_415,Suburban,24,5110,294507,7,26366,8,199200,441067
BR_416,Urban,23,5990,165138,5,21010,6,136895,433043
BR_417,Urban,52,4587,83804,1,22147,6,52762,713301
BR_418,Urban,15,4536,134433,12,25404,5,159311,273395
BR_419,Suburban,44,889,68544,8,4801,1,37567,532775
BR_420,Suburban,7,3721,20189,8,18847,9,110737,115270
BR_421,Suburban,27,2051,293896,2,2997,11,31857,317001
BR_422,Suburban,11,1902,271768,8,24025,10,90603,134512
BR_423,Urban,27,5503,27482,1,8384,9,100399,328274
BR_424,Urban,11,1148,298823,11,15223,8,83086,195642
BR_425,Urban,50,4713,276500,13,17299,4,114145,753424
BR_426,Suburban,38,4852,20799,2,13198,5,57270,593211
BR_427,Urban,46,3741,141691,13,3678,0,145071,694409
BR_428,Rural,23,1045,235692,5,2864,4,27012,314931
BR_429,Urban,13,1071,111467,13,11382,5,84049,188576
BR_430,Urban,52,2830,111404,3,26120,9,109989,626555
BR_431,Urban,55,5298,63558,7,4697,10,114586,687009
BR_432,Suburban,22,3987,230454,0,28950,1,64080,470533
BR_433,Suburban,45,4306,238865,12,27440,6,81879,612975
BR_434,Urban,52,2265,123018,5,29152,3,90888,679717
BR_435,Urban,49,1995,173947,1,14107,4,140951,671630
BR_436,Suburban,46,3887,241325,5,4926,2,174282,692986
BR_437,Urban,29,3808,31408,13,17735,4,62146,503145
BR_438,Rural,56,4623,55607,0,16223,11,141293,634899
BR_439,Suburban,18,5975,81684,14,9542,3,118948,310908
BR_440,Urban,48,2414,33601,1,6429,11,61166,494339
BR_441,Urban,29,1926,144594,8,17362,9,144239,347838
BR_442,Rural,23,5179,283279,5,25794,5,159078,503655
BR_443,Urban,43,1316,173813,7,15931,1,157076,518431
BR_444,Urban,59,3465,31913,6,9218,2,162039,849920
BR_445,Rural,19,2101,30101,8,25409,11,190918,111821
BR_446,Rural,20,1411,169703,8,4397,9,43879,249835
BR_447,Rural,31,1549,223156,10,20605,0,27261,598037
BR_448,Suburban,44,2656,122820,3,16451,6,184412,601932
BR_449,Urban,14,1199,200057,6,7814,8,57323,113845
BR_450,Urban,8,2326,280381,4,24888,1,60864,266895
BR_451,Suburban,55,2824,82110,6,9522,6,32927,713845
BR_452,Suburban,23,1119,253887,3,24169,2,191284,400417
BR_453,Urban,32,5951,39215,11,28358,4,107256,487069
BR_454,Rural,25,1135,242190,9,24603,5,109903,379039
BR_455,Urban,51,2898,165096,10,22382,7,197999,650138
BR_456,Urban,18,973,96949,10,21187,3,146686,285115
BR_457,Urban,37,4819,196555,0,17588,1,79150,602182
